,Hour,Month,DayOfWeek,Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Fraud_indicator
0,11,1,4,Bus ,FTG-001-ABC-121,A-101,Express,Large,350,120.0,"13.059816123454882, 77.77068662374292",65,Fraud
1,14,1,5,Car,FTG-002-XYZ-451,B-102,Regular,Small,120,100.0,"13.059816123454882, 77.77068662374292",78,Fraud
2,18,1,6,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",53,Not Fraud
3,2,1,0,Truck,FTG-044-LMN-322,C-103,Regular,Large,350,120.0,"13.059816123454882, 77.77068662374292",92,Fraud
4,6,1,1,Van,FTG-505-DEF-652,B-102,Express,Medium,140,100.0,"13.059816123454882, 77.77068662374292",60,Fraud
5,10,1,2,Sedan,FTG-066-GHI-987,A-101,Regular,Medium,160,100.0,"13.059816123454882, 77.77068662374292",105,Fraud
6,15,1,3,SUV,FTG-707-JKL-210,B-102,Express,Large,180,160.0,"13.059816123454882, 77.77068662374292",70,Fraud
7,20,1,4,Bus ,FTG-088-UVW-543,C-103,Regular,Large,350,90.0,"13.059816123454882, 77.77068662374292",88,Fraud
8,1,1,5,Car,FTG-909-RST-876,A-101,Express,Small,120,0.0,"13.059816123454882, 77.77068662374292",45,Fraud
9,7,1,6,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",72,Not Fraud
10,12,1,0,Truck,FTG-021-QWE-765,C-103,Express,Large,350,120.0,"13.059816123454882, 77.77068662374292",58,Fraud
11,17,1,1,Van,FTG-011-ZXC-431,B-102,Regular,Medium,140,120.0,"13.059816123454882, 77.77068662374292",81,Fraud
12,22,1,2,Sedan,FTG-013-POI-104,A-101,Express,Medium,160,120.0,"13.059816123454882, 77.77068662374292",67,Fraud
13,4,1,3,SUV,FTG-014-KJH-872,B-102,Regular,Large,180,180.0,"13.059816123454882, 77.77068662374292",98,Not Fraud
14,8,1,4,Bus ,FTG-055-DCV-543,A-101,Express,Large,350,120.0,"13.059816123454882, 77.77068662374292",50,Fraud
15,13,1,5,Car,FTG-066-NBH-210,B-102,Regular,Small,120,90.0,"13.059816123454882, 77.77068662374292",75,Fraud
16,16,1,6,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",62,Not Fraud
17,22,1,0,Truck,FTG-088-EYT-654,C-103,Regular,Large,350,120.0,"13.059816123454882, 77.77068662374292",84,Fraud
18,2,1,1,Van,FTG-099-FTD-321,B-102,Express,Medium,140,120.0,"13.059816123454882, 77.77068662374292",55,Fraud
19,7,1,2,Sedan,FTG-120-TTU-098,A-101,Regular,Medium,160,160.0,"13.059816123454882, 77.77068662374292",80,Not Fraud
20,12,1,3,SUV,FTG-121-BTC-765,B-102,Express,Large,180,100.0,"13.059816123454882, 77.77068662374292",68,Fraud
21,15,1,4,Bus ,FTG-122-XRW-432,C-103,Regular,Large,350,265.0,"13.059816123454882, 77.77068662374292",90,Not Fraud
22,21,1,5,Car,FTG-123-NMK-101,A-101,Express,Small,120,90.0,"13.059816123454882, 77.77068662374292",48,Fraud
23,3,1,6,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",77,Not Fraud
24,7,1,0,Truck,FTG-125-VTN-543,C-103,Express,Large,350,120.0,"13.059816123454882, 77.77068662374292",63,Fraud
25,11,1,1,Van,FTG-126-PTM-210,B-102,Regular,Medium,140,140.0,"13.059816123454882, 77.77068662374292",87,Not Fraud
26,16,2,2,Sedan,FTG-127-HJT-987,A-101,Express,Medium,160,100.0,"13.059816123454882, 77.77068662374292",52,Fraud
27,21,2,3,SUV,FTG-128-WSX-652,B-102,Regular,Large,180,120.0,"13.059816123454882, 77.77068662374292",95,Fraud
28,3,2,4,Bus ,FTG-129-QQZ-321,C-103,Express,Large,350,265.0,"13.059816123454882, 77.77068662374292",73,Not Fraud
29,8,2,5,Car,FTG-130-LOO-098,A-101,Regular,Small,120,120.0,"13.059816123454882, 77.77068662374292",82,Not Fraud
30,13,2,6,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",57,Not Fraud
31,18,2,0,Truck,FTG-132-IOC-432,C-103,Regular,Large,350,265.0,"13.059816123454882, 77.77068662374292",96,Not Fraud
32,23,2,1,Van,FTG-033-JIP-109,B-102,Express,Medium,140,100.0,"13.059816123454882, 77.77068662374292",66,Fraud
33,5,2,2,Sedan,FTG-134-RPV-876,A-101,Regular,Medium,160,160.0,"13.059816123454882, 77.77068662374292",89,Not Fraud
34,9,2,3,SUV,FTG-135-EPC-543,B-102,Express,Large,180,120.0,"13.059816123454882, 77.77068662374292",51,Fraud
35,14,2,4,Bus ,FTG-136-OPM-210,C-103,Regular,Large,350,265.0,"13.059816123454882, 77.77068662374292",76,Not Fraud
36,17,2,5,Car,FTG-137-NJI-9879,A-101,Express,Small,120,0.0,"13.059816123454882, 77.77068662374292",61,Fraud
37,23,2,6,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",85,Not Fraud
38,4,2,0,Truck,FTG-029-UUY-321,C-103,Express,Large,350,265.0,"13.059816123454882, 77.77068662374292",74,Not Fraud
39,8,2,1,Van,FTG-140-POU-09P,B-102,Regular,Medium,140,90.0,"13.059816123454882, 77.77068662374292",93,Fraud
40,13,2,2,Sedan,FTG-141-ZXC-769,A-101,Express,Medium,160,120.0,"13.059816123454882, 77.77068662374292",49,Fraud
41,16,2,3,SUV,FTG-142-VBN-439,B-102,Regular,Large,180,180.0,"13.059816123454882, 77.77068662374292",83,Not Fraud
42,22,2,4,Bus ,FTG-143-QWE-107,C-103,Express,Large,350,90.0,"13.059816123454882, 77.77068662374292",59,Fraud
43,4,2,5,Car,FTG-034-MKH-875,A-101,Regular,Small,120,90.0,"13.059816123454882, 77.77068662374292",91,Fraud
44,8,2,6,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",71,Not Fraud
45,13,2,0,Truck,FTG-036-POI-217,C-103,Regular,Large,350,140.0,"13.059816123454882, 77.77068662374292",86,Fraud
46,18,2,1,Van,FTG-347-XCV-985,B-102,Express,Medium,140,90.0,"13.059816123454882, 77.77068662374292",56,Fraud
47,22,2,2,Sedan,FTG-048-JKL-653,A-101,Regular,Medium,160,160.0,"13.059816123454882, 77.77068662374292",79,Not Fraud
48,4,2,3,SUV,FTG-049-RFD-322,B-102,Express,Large,180,180.0,"13.059816123454882, 77.77068662374292",64,Not Fraud
49,8,2,4,Bus ,FTG-040-HRT-098,C-103,Regular,Large,350,120.0,"13.059816123454882, 77.77068662374292",97,Fraud
50,13,2,5,Car,FTG-041-YUI-764,A-101,Express,Small,120,120.0,"13.059816123454882, 77.77068662374292",69,Not Fraud
51,18,2,6,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",94,Not Fraud
52,23,2,0,Truck,FTG-043-NBH-106,C-103,Express,Large,350,100.0,"13.059816123454882, 77.77068662374292",54,Fraud
53,5,2,1,Van,FTG-044-KJH-875,B-102,Regular,Medium,140,140.0,"13.059816123454882, 77.77068662374292",81,Not Fraud
54,9,3,2,Sedan,FTG-053-EDC-545,A-101,Express,Medium,160,90.0,"13.059816123454882, 77.77068662374292",65,Fraud
55,14,3,3,SUV,FTG-046-LMK-212,B-102,Regular,Large,180,180.0,"13.059816123454882, 77.77068662374292",92,Not Fraud
56,18,3,4,Bus ,FTG-057-PRN-887,C-103,Express,Large,350,265.0,"13.059816123454882, 77.77068662374292",50,Not Fraud
57,23,3,5,Car,FTG-558-VFR-652,A-101,Regular,Small,120,90.0,"13.059816123454882, 77.77068662374292",75,Fraud
58,3,3,6,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",58,Not Fraud
59,7,3,0,Truck,FTG-060-QAZ-092,C-103,Regular,Large,350,90.0,"13.059816123454882, 77.77068662374292",89,Fraud
60,12,3,1,Van,FTG-061-POU-764,B-102,Express,Medium,140,90.0,"13.059816123454882, 77.77068662374292",44,Fraud
61,16,3,2,Sedan,FTG-052-NJH-434,A-101,Regular,Medium,160,160.0,"13.059816123454882, 77.77068662374292",78,Not Fraud
62,21,3,3,SUV,FTG-053-ZXC-104,B-102,Express,Large,180,180.0,"13.059816123454882, 77.77068662374292",67,Not Fraud
63,3,3,4,Bus ,FTG-054-OKM-874,C-103,Regular,Large,350,265.0,"13.059816123454882, 77.77068662374292",95,Not Fraud
64,8,3,5,Car,FTG-055-LKJ-544,A-101,Express,Small,120,90.0,"13.059816123454882, 77.77068662374292",55,Fraud
65,13,3,6,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",80,Not Fraud
66,18,3,0,Truck,FTG-077-MKF-984,C-103,Express,Large,350,265.0,"13.059816123454882, 77.77068662374292",62,Not Fraud
67,23,3,1,Van,FTG-068-DCV-653,B-102,Regular,Medium,140,90.0,"13.059816123454882, 77.77068662374292",87,Fraud
68,5,3,2,Sedan,FTG-059-NBH-323,A-101,Express,Medium,160,160.0,"13.059816123454882, 77.77068662374292",47,Not Fraud
69,10,3,3,SUV,FTG-060-POI-093,B-102,Regular,Large,180,100.0,"13.059816123454882, 77.77068662374292",73,Fraud
70,14,3,4,Bus ,FTG-061-RSX-765,C-103,Express,Large,350,265.0,"13.059816123454882, 77.77068662374292",68,Not Fraud
71,19,3,5,Car,FTG-062-QAZ-431,A-101,Regular,Small,120,120.0,"13.059816123454882, 77.77068662374292",91,Not Fraud
72,0,3,6,Motorcycle,Not Required,D-104,Regular,Small,0,0.0,"13.059816123454882, 77.77068662374292",53,Not Fraud
73,6,3,0,Truck,FTG-064-VFR-873,C-103,Regular,Large,350,100.0,"13.059816123454882, 77.77068662374292",82,Fraud
74,11,3,1,Van,FTG-065-YUI-545,B-102,Express,Medium,140,110.0,"13.059816123454882, 77.77068662374292",56,Fraud
75,15,3,2,Sedan,FTG-066-CDE-213,A-101,Regular,Medium,160,90.0,"13.059816123454882, 77.77068662374292",84,Fraud
76,21,3,3,SUV,FTG-067-LMK-983,B-102,Express,Large,180,180.0,"13.059816123454882, 77.77068662374292",69,Not Fraud
77,2,3,4,Bus ,FTG-068-NJH-655,C-103,Regular,Large,350,265.0,"13.059816123454882, 77.77068662374292",94,Not Fraud
78,6,3,5,Car,FTG-069-RFD-326,A-101,Express,Small,120,100.0,"13.059816123454882, 77.77068662374292",49,Fraud
